Year,Make,Model,Trim,Odometer Value,MMR
2005,Ford,Escape,LIMITED,130123,2075
2010,Ford,Escape,XLT,158602,2800
2008,Ford,Escape,XLT,241766,1100
2008,Ford,Escape,XLT,127881,3025
2014,Ford,Escape,SE,158027,4275
2015,Ford,Escape,SE,117210,7725
2010,Ford,Escape,XLS,126571,3575
2006,Ford,Escape,,140106,1900
2012,Ford,Escape,XLT,120030,3975
2007,Ford,Expedition,,317528,1800
2007,Pontiac,G6,G6,1,1425
2004,Pontiac,Grand Prix,GTP,165942,1500
2004,Pontiac,Grand Prix,GTP,165942,1500
2015,Chevrolet,Cruze,1LT,119662,4250
